id,nombre,categoria,fuente,provincia_id,provincia_nombre,departamento_id,departamento_nombre,gobierno_local_id,gobierno_local_nombre,localidad_censal_id,localidad_censal_nombre,lon,lat
06854100,25 de Mayo,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854100,25 de Mayo,-60.171559351,-35.432471083
06854010,Agustín Mosconi,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854010,Agustín Mosconi,-60.557071201,-35.740317051
06854020,Del Valle,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854020,Del Valle,-60.73027537,-35.899891805
06854030,Ernestina,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854030,Ernestina,-59.55713232,-35.26892091
06854040,Gobernador Ugarte,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854040,Gobernador Ugarte,-60.078919244,-35.163891611
06854050,Lucas Monteverde,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854050,Lucas Monteverde,-59.985834588,-35.482362749
06854060,Norberto de la Riestra,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854060,Norberto de la Riestra,-59.775553067,-35.273331417
06854070,Pedernales,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854070,Pedernales,-59.630676245,-35.262362657
06854080,San Enrique,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854080,San Enrique,-60.350450153,-35.769842179
06854090,Valdés,Localidad simple,INDEC,06,Buenos Aires,06854,25 de Mayo,060854,25 de Mayo,06854090,Valdés,-60.465676142,-35.648041427
06588030,12 de Octubre,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588030,12 de Octubre,-60.919147323,-35.605166454
06588100,9 de Julio,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588100,9 de Julio,-60.884627485,-35.44393528
06588010,Alfredo Demarchi,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588010,Facundo Quiroga,-61.405804516,-35.292355193
06588020,Carlos María Naón,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588020,Carlos María Naón,-60.823278755,-35.237150973
06588040,Dudignac,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588040,Dudignac,-60.709500831,-35.650267687
06588050,La Aurora,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588050,La Niña,-61.207805466,-35.408707458
06588060,Manuel B. Gonnet,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588060,French,-61.001293512,-35.517995881
06588070,Marcelino Ugarte,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588070,Dennehy,-60.745070287,-35.351619835
06588080,Morea,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588080,Morea,-60.56202544,-35.5545417
06588090,Norumbega,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588090,Norumbega,-60.794391192,-35.53511906
06588110,Patricios,Localidad simple,INDEC,06,Buenos Aires,06588,9 de Julio,060588,9 de Julio,06588110,Patricios,-60.716549619,-35.441219366
06007010,Carhué,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007010,Carhué,-62.75999039,-37.179483265
06007020,Colonia San Miguel Arcángel,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007020,Colonia San Miguel Arcángel,-63.11715636,-37.44901788
06007030,Delfín Huergo,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007030,Delfín Huergo,-63.234384727,-37.32110752
06007040,Espartillar,Componente de localidad compuesta,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007040,Espartillar,-62.438379793,-37.357410999
06007050,Esteban Agustín Gascón,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007050,Esteban Agustín Gascón - Villa Margarita,-63.25431155,-37.455836511
06007060,La Pala,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007060,La Pala,-63.366465604,-36.663920357
06007070,Maza,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007070,Maza,-63.339281172,-36.800316053
06007080,Rivera,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007080,Rivera,-63.241789724,-37.160596744
06007110,Yutuyaco,Localidad simple,INDEC,06,Buenos Aires,06007,Adolfo Alsina,060007,Adolfo Alsina,06007110,Yutuyaco,-63.132027906,-36.987320407
06014010,Adolfo Gonzales Chaves,Localidad simple,INDEC,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014010,Adolfo Gonzales Chaves,-60.099391928,-38.032370729
06014020,De La Garma,Localidad simple,INDEC,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014020,De La Garma,-60.416785485,-37.966541728
06014030,Juan E. Barra,Localidad simple,INDEC,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014030,Juan Eulogio Barra,-60.482055449,-37.820038607
06014040,Vásquez,Localidad simple,INDEC,06,Buenos Aires,06014,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014040,Vásquez,-60.169791056,-38.175801007
06021010,Alberti,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021010,Alberti,-60.280286017,-35.031574623
06021020,Coronel Seguí,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021020,Coronel Seguí,-60.392971444,-34.867440052
06021030,Mechita,Componente de localidad compuesta,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021030,Mechita,-60.40342701,-35.067386109
06021040,Pla,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021040,Pla,-60.221916141,-35.122895987
06021050,Villa Grisolía,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021050,Achupallas,-60.070218183,-35.109999975
06021060,Villa María,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021060,Villa María,-60.347480481,-34.888225027
06021070,Villa Ortiz,Localidad simple,INDEC,06,Buenos Aires,06021,Alberti,060021,Alberti,06021070,Coronel Mom,-60.306301146,-34.844536788
0602801001,Adrogué,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.388452934,-34.797372668
06028010,Almirante Brown,Componente de localidad compuesta,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.384329627,-34.79801384
0602801002,Burzaco,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.391033877,-34.828171708
0602801003,Claypole,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.335204417,-34.797558866
0602801004,Don Orione,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.341854308,-34.819291543
0602801005,Glew,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.382787455,-34.888336258
0602801006,José Mármol,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.369842315,-34.786316598
0602801007,Longchamps,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.38918489,-34.860729844
0602801008,Malvinas Argentinas,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.423387826,-34.818755035
0602801009,Ministro Rivadavia,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.362753529,-34.844020735
0602801010,Rafael Calzada,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.361671161,-34.797359608
0602801011,San Francisco Solano,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.319568033,-34.785652553
0602801012,San José,Entidad,INDEC,06,Buenos Aires,06028,Almirante Brown,060028,Almirante Brown,06028010,Almirante Brown,-58.343391467,-34.763632363
06077010,Arrecifes,Localidad simple,INDEC,06,Buenos Aires,06077,Arrecifes,060077,Arrecifes,06077010,Arrecifes,-60.108691585,-34.067514908
06077030,Viña,Localidad simple,INDEC,06,Buenos Aires,06077,Arrecifes,060077,Arrecifes,06077030,Viña,-60.226418357,-33.99237915
06035010,Avellaneda,Componente de localidad compuesta,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.365166856,-34.66269451
0603501002,Avellaneda,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.362737357,-34.663829509
0603501003,Crucesita,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.357125604,-34.667991883
0603501004,Dock Sud,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.344902262,-34.650134217
0603501005,Gerli,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.374441484,-34.683773057
0603501006,Piñeyro,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.387746501,-34.66808373
0603501007,Sarandí,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.346310787,-34.681796064
0603501008,Villa Domínico,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.330456453,-34.694576643
0603501009,Wilde,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.31720951,-34.704078819
0603501001,Área Reserva Cinturón Ecológico,Entidad,INDEC,06,Buenos Aires,06035,Avellaneda,060035,Avellaneda,06035010,Avellaneda,-58.307737109,-34.68445981
06042010,Ayacucho,Localidad simple,INDEC,06,Buenos Aires,06042,Ayacucho,060042,Ayacucho,06042010,Ayacucho,-58.488379175,-37.152760991
06042020,La Constancia,Localidad simple,INDEC,06,Buenos Aires,06042,Ayacucho,060042,Ayacucho,06042020,La Constancia,-58.760104413,-37.226346599
06042030,Solanet,Localidad simple,INDEC,06,Buenos Aires,06042,Ayacucho,060042,Ayacucho,06042030,Solanet,-58.508167569,-36.842874855
06042040,Udaquiola,Localidad simple,INDEC,06,Buenos Aires,06042,Ayacucho,060042,Ayacucho,06042040,Udaquiola,-58.534696319,-36.562367904
06049050,16 de Julio,Localidad simple,INDEC,06,Buenos Aires,06049,Azul,060049,Azul,06049050,16 de Julio,-60.164653346,-37.200514968
06049010,Ariel,Localidad simple,INDEC,06,Buenos Aires,06049,Azul,060049,Azul,06049010,Ariel,-59.921751904,-36.5314223
06049020,Azul,Localidad simple,INDEC,06,Buenos Aires,06049,Azul,060049,Azul,06049020,Azul,-59.863443046,-36.777447
06049030,Cacharí,Localidad simple,INDEC,06,Buenos Aires,06049,Azul,060049,Azul,06049030,Cacharí,-59.504604217,-36.376673005
06049040,Chillar,Localidad simple,INDEC,06,Buenos Aires,06049,Azul,060049,Azul,06049040,Chillar,-59.985165667,-37.312803844
06056010,Bahía Blanca,Localidad simple,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.265446934,-38.717605091
0605601001,Bahía Blanca,Entidad,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.272742,-38.722770277
06056020,Cabildo,Localidad simple,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056020,Cabildo,-61.893752163,-38.485152883
06056030,General Daniel Cerri,Localidad simple,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056030,General Daniel Cerri,-62.395308976,-38.719365546
0605601002,Grünbein,Entidad,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.190889277,-38.74927221
0605601003,Ingeniero White,Entidad,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.265580694,-38.779492365
0605601004,Villa Bordeau,Entidad,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.335017425,-38.693558631
0605601005,Villa Espora,Entidad,INDEC,06,Buenos Aires,06056,Bahía Blanca,060056,Bahía Blanca,06056010,Bahía Blanca,-62.171375495,-38.741415624
06063010,Balcarce,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063010,Balcarce,-58.255491169,-37.846382623
06063020,Los Pinos,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063020,Los Pinos,-58.32427674,-37.942709752
06063030,Napaleofú,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063030,Napaleofú,-58.746368507,-37.62307067
06063040,Ramos Otero,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063040,Ramos Otero,-58.340605119,-37.54089492
06063050,San Agustín,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063050,San Agustín,-58.35593425,-38.014111278
06063060,Villa Laguna La Brava,Localidad simple,INDEC,06,Buenos Aires,06063,Balcarce,060063,Balcarce,06063060,Villa Laguna La Brava,-57.981012024,-37.861223079
06070010,Baradero,Localidad simple,INDEC,06,Buenos Aires,06070,Baradero,060070,Baradero,06070010,Baradero,-59.502227835,-33.807072775
06070020,Irineo Portela,Localidad simple,INDEC,06,Buenos Aires,06070,Baradero,060070,Baradero,06070020,Irineo Portela,-59.670121708,-33.979830383
06070030,Santa Coloma,Localidad simple,INDEC,06,Buenos Aires,06070,Baradero,060070,Baradero,06070030,Santa Coloma,-59.560215964,-34.060871235
06070040,Villa Alsina,Localidad simple,INDEC,06,Buenos Aires,06070,Baradero,060070,Baradero,06070040,Villa Alsina,-59.390649065,-33.907660918
06084020,Benito Juárez,Localidad simple,INDEC,06,Buenos Aires,06084,Benito Juárez,060084,Benito Juárez,06084020,Benito Juárez,-59.804805184,-37.674284974
06084030,López,Localidad simple,INDEC,06,Buenos Aires,06084,Benito Juárez,060084,Benito Juárez,06084030,López,-59.627766619,-37.552280337
06084040,Tedín Uriburu,Localidad simple,INDEC,06,Buenos Aires,06084,Benito Juárez,060084,Benito Juárez,06084040,Tedín Uriburu,-59.760202926,-37.364271855
06084050,Villa Cacique,Localidad simple,INDEC,06,Buenos Aires,06084,Benito Juárez,060084,Benito Juárez,06084050,Villa Cacique - Barker,-59.396186471,-37.676225444
06091010,Berazategui,Componente de localidad compuesta,INDEC,06,Buenos Aires,06091,Berazategui,060091,Berazategui,06091010,Berazategui,-58.226143186,-34.769791045
